GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0500000US24001,24001,"Allegany County, Maryland",75087,75087,75024,74592,73982,73637,73008,72528
0500000US24003,24003,"Anne Arundel County, Maryland",537656,537654,539308,545084,550700,556134,560286,564195
0500000US24005,24005,"Baltimore County, Maryland",805029,804953,806171,813210,818533,824130,827794,831128
0500000US24009,24009,"Calvert County, Maryland",88737,88737,88947,89288,89665,90458,90562,90595
0500000US24011,24011,"Caroline County, Maryland",33066,33088,33072,32927,32635,32639,32525,32579
0500000US24013,24013,"Carroll County, Maryland",167134,167138,167205,167256,167197,167460,167682,167627
0500000US24015,24015,"Cecil County, Maryland",101108,101108,101164,101644,101767,101871,102135,102382
0500000US24017,24017,"Charles County, Maryland",146551,146551,147137,149265,150796,152904,154687,156118
0500000US24019,24019,"Dorchester County, Maryland",32618,32618,32656,32694,32479,32587,32527,32384
0500000US24021,24021,"Frederick County, Maryland",233385,233385,234196,237338,239569,241159,243475,245322
0500000US24023,24023,"Garrett County, Maryland",30097,30097,30087,30106,29899,29950,29652,29460
0500000US24025,24025,"Harford County, Maryland",244826,244826,245239,246710,248642,249240,249949,250290
0500000US24027,24027,"Howard County, Maryland",287085,287085,288634,293921,299684,304850,308705,313414
0500000US24029,24029,"Kent County, Maryland",20197,20197,20199,20237,19983,19814,19793,19787
0500000US24031,24031,"Montgomery County, Maryland",971777,971806,976179,993068,1006472,1019164,1030476,1040116
0500000US24033,24033,"Prince George's County, Maryland",863420,863519,865912,875277,882971,892941,903357,909535
0500000US24035,24035,"Queen Anne's County, Maryland",47798,47776,47824,48333,48531,48507,48726,48904
0500000US24037,24037,"St. Mary's County, Maryland",105151,105151,105758,107779,109019,109510,110350,111413
0500000US24039,24039,"Somerset County, Maryland",26470,26470,26479,26331,26114,26057,25632,25768
0500000US24041,24041,"Talbot County, Maryland",37782,37782,37886,37968,38053,37900,37560,37512
0500000US24043,24043,"Washington County, Maryland",147430,147430,147738,148819,149203,149321,149423,149585
0500000US24045,24045,"Wicomico County, Maryland",98733,98733,98938,100097,100590,101087,101768,102370
0500000US24047,24047,"Worcester County, Maryland",51454,51451,51476,51435,51551,51505,51563,51540
0500000US24510,24510,"Baltimore city, Maryland",620961,621143,621180,620792,622705,623215,623711,621849
