GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0500000US51001,51001,"Accomack County, Virginia",33164,33164,33165,33287,33314,33005,32998,32973
0500000US51003,51003,"Albemarle County, Virginia",98970,98998,99236,100643,101962,102883,104351,105703
0500000US51005,51005,"Alleghany County, Virginia",16250,16261,16211,16340,16233,16195,15884,15677
0500000US51007,51007,"Amelia County, Virginia",12690,12695,12742,12757,12740,12698,12785,12903
0500000US51009,51009,"Amherst County, Virginia",32353,32354,32385,32119,32449,32198,32062,31914
0500000US51011,51011,"Appomattox County, Virginia",14973,14975,15035,15003,15137,15222,15266,15414
0500000US51013,51013,"Arlington County, Virginia",207627,207676,209429,216544,221739,225652,226624,229164
0500000US51015,51015,"Augusta County, Virginia",73750,73736,73478,73845,73813,74132,74159,74314
0500000US51017,51017,"Bath County, Virginia",4731,4727,4712,4660,4639,4597,4549,4470
0500000US51019,51019,"Bedford County, Virginia",68676,74871,74997,75545,75764,76186,77095,77724
0500000US51021,51021,"Bland County, Virginia",6824,6824,6810,6765,6698,6682,6606,6561
0500000US51023,51023,"Botetourt County, Virginia",33148,33148,33182,33066,33196,33053,33115,33347
0500000US51025,51025,"Brunswick County, Virginia",17434,17432,17413,17151,17045,16970,16787,16698
0500000US51027,51027,"Buchanan County, Virginia",24098,24095,24040,23929,23902,23647,23177,22776
0500000US51029,51029,"Buckingham County, Virginia",17146,17140,17111,17181,17051,17149,16927,17032
0500000US51031,51031,"Campbell County, Virginia",54842,54851,54934,54922,54888,55062,55101,55086
0500000US51033,51033,"Caroline County, Virginia",28545,28558,28643,28705,28980,29281,29795,29984
0500000US51035,51035,"Carroll County, Virginia",30042,30087,30086,30096,29938,29880,29641,29724
0500000US51036,51036,"Charles City County, Virginia",7256,7256,7271,7248,7168,7110,7024,7040
0500000US51037,51037,"Charlotte County, Virginia",12586,12575,12547,12494,12399,12284,12186,12201
0500000US51041,51041,"Chesterfield County, Virginia",316236,316231,317312,320545,324101,327955,332593,335687
0500000US51043,51043,"Clarke County, Virginia",14034,14029,14038,14204,14277,14285,14365,14363
0500000US51045,51045,"Craig County, Virginia",5190,5173,5176,5226,5198,5185,5240,5211
0500000US51047,51047,"Culpeper County, Virginia",46689,46691,46848,47330,47776,48467,49117,49432
0500000US51049,51049,"Cumberland County, Virginia",10052,10055,10044,10025,9863,9848,9839,9719
0500000US51051,51051,"Dickenson County, Virginia",15903,15892,15870,15763,15670,15459,15306,15115
0500000US51053,51053,"Dinwiddie County, Virginia",28001,28001,28019,28178,28272,28182,28068,27852
0500000US51057,51057,"Essex County, Virginia",11151,11146,11147,11196,11161,11184,11084,11130
0500000US51059,51059,"Fairfax County, Virginia",1081726,1081685,1086835,1105914,1121445,1134972,1139045,1142234
0500000US51061,51061,"Fauquier County, Virginia",65203,65275,65481,66159,66682,67309,68382,68782
0500000US51063,51063,"Floyd County, Virginia",15279,15293,15355,15416,15442,15527,15581,15651
0500000US51065,51065,"Fluvanna County, Virginia",25691,25704,25760,25977,25919,25883,26056,26235
0500000US51067,51067,"Franklin County, Virginia",56159,56155,56202,56410,56343,56324,56233,56264
0500000US51069,51069,"Frederick County, Virginia",78305,78308,78584,79521,80217,81294,82467,83199
0500000US51071,51071,"Giles County, Virginia",17286,17286,17317,17119,16979,16942,16786,16708
0500000US51073,51073,"Gloucester County, Virginia",36858,36858,36939,36908,36933,36841,37181,37143
0500000US51075,51075,"Goochland County, Virginia",21717,21699,21739,21448,21348,21641,21917,22253
0500000US51077,51077,"Grayson County, Virginia",15533,15551,15496,15406,15225,15221,15999,16012
0500000US51079,51079,"Greene County, Virginia",18403,18410,18480,18728,18847,18892,19061,19162
0500000US51081,51081,"Greensville County, Virginia",12243,12243,12213,11997,11739,11638,11539,11885
0500000US51083,51083,"Halifax County, Virginia",36241,36241,36154,36010,35786,35388,35223,35125
0500000US51085,51085,"Hanover County, Virginia",99863,99850,99937,99984,100432,101185,101872,103227
0500000US51087,51087,"Henrico County, Virginia",306935,306979,307639,310858,315902,319585,322818,325155
0500000US51089,51089,"Henry County, Virginia",54151,54143,54116,53330,52907,52631,52153,51881
0500000US51091,51091,"Highland County, Virginia",2321,2319,2294,2281,2252,2223,2251,2214
0500000US51093,51093,"Isle of Wight County, Virginia",35270,35270,35310,35310,35419,35651,36004,36314
0500000US51095,51095,"James City County, Virginia",67009,67401,67740,68200,69295,70580,72142,73147
0500000US51097,51097,"King and Queen County, Virginia",6945,6945,6970,7033,7071,7106,7162,7158
0500000US51099,51099,"King George County, Virginia",23584,23584,23680,24281,24606,24934,25331,25515
