,code,desc,fine,shortDesc
0,P001,PARK ABREAST OF ANOTHER VEHICLE,$50.0,ABREAST
1,P002,STAND OR PARK IN ALLEY,$30.0,ALLEY IN
2,P003,RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT,$30.0,RESIDENTIAL PARKING
3,P004,PARK VEHICLE IN FRONT OF A BARRICADE,$20.0,BARRICADE IN FRT OF
4,P005,PARK ON OR UNDER AN ELEVATED STRUCTURE,$50.0,ON BRIDGE/IN TUNNEL
5,P006,PARK ON BRIDLE PATH (PARK AREA),$20.0,BRIDLE PATH ON
6,P007,PARK IN A BUS ZONE,$100.0,PARK IN BUS ZONE
7,P008,IN VIOLATION OF PEDESTRIAN CONTROL REGULATION,$5.0,PEDSTR CONTROL REGUL
8,P010,OBSTRUCTING CROSSWALK,$50.0,CROSSWALKOBSTRUCTNG
9,P011,PARK MORE THAN 12 INCHES FROM CURB,$20.0,CURB MORE THAN 1 FT
10,P012,DISOBEYING OFFICIAL SIGN,$30.0,DISOBYNG OFFICL SIGN
11,P013,PARK WITHIN 5 FEET OF DRIVEWAY OR ALLEY,$20.0,DRIVEWAY WITHIN 5 FT
12,P014,EMERGENCY NO PARKING,$50.0,EMERGENCY NO PARKING
13,P015,OBSTRUCTING ENTRANCE OF PKG GARAGE DOOR OR GATE,$20.0,ENTRANCE OBSTRUCTIN
14,P016,OPP OR BESIDE CONTRUCTION SITE OBSTRUCTING TRAFFIC,$50.0,EXCAVATION OPPOSITE
15,P017,EXCESSIVE IDLING.,$500.0,EXCESSIVE IDLING
16,P018,OBSTRUCTING FIRE ESCAPE,$50.0,FIRE ESCAPEOBSTCTNG
17,P019,PARK WITHIN 20 FEET OF A FIREHOUSE ENTRANCE,$50.0,PK W/IN 20FT STATION
18,P020,PARK WITHIN 10 FEET OF A FIRE HYDRANT,$50.0,FIRE HYDRANT 10FT
19,P022,PARK ON TAXICAB STAND,$20.0,TAXICAB STAND ON
20,P023,OBSTRUCT AN INTERSECTION,$50.0,INTERSECTIONOBSTRTN
21,P024,PARK LESS THAN 25 FEET FROM AN INTERSECTION,$20.0,INTERSECTIONLT 25FT
22,P025,PARK LESS THAN 40 FEET FROM AN INTERSECTION,$20.0,INTERSECTN LT 40FT
23,P026,PARK ON A LAWN,$20.0,LAWN ON
24,P029,PARK WITH LEFT WHEEL TO THE CURB,$20.0,LEFT WHEEL TO CURB
25,P031,UNAUTHORIZED VEHICLE IN LOADING ZONE,$100.0,LOADING ZONE
26,P032,OVERSIZED COMM VEHICLE PARKED AT A METER,$25.0,OVRSZD VEH AT METER
27,P033,DEPOSIT PAYMENT TO EXTEND TIME BEYOND METER LIMIT,$15.0,MTR PAY >TIME LMT
28,P034,FAIL TO DEPOSIT COIN IN METER,$15.0,METER FAIL DEP COIN
29,P035,NOT PARKED IN A METER SPACE,$25.0,NOT PKD IN MTR SPACE
30,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,$25.0,OFFICIAL SPACE IN
31,P037,PARK OVERTIME AT A METER,$25.0,OVERTIME AT METER
32,P039,PARK AT EXPIRED METER,$25.0,EXPIRED METER
33,P040,FAIL TO PARK PARALLEL,$20.0,PARALLEL FAIL PARK
34,P042,PARK ON PUBLIC SPACE,$20.0,PUBLIC SPACE
35,P043,PARK TO REDUCE ROADWAY TO LESS THAN 10 FEET,$25.0,REDUCE RDWAY LT10 FT
36,P045,PARK IN RESERVED EMBASSY SPACE,$20.0,RESERVED SPACE EMBSY
37,P046,PARK IN SCHOOL ZONE,$25.0,SCHOOL ZONE
38,P047,PARK ON SIDEWALK OR AREA RESERVED FOR PEDESTRIANS,$100.0,SIDEWALK ON
39,P048,PARK ON SIGHTSEEING STAND,$20.0,SIGHTSEEING STAND ON
40,P050,PARKED WITHIN 25 FEET OF A STOP SIGN,$50.0,STOP SIGN IN 25 FT
41,P053,PARKED LESS THAN 3 FEET FROM ANOTHER VEHICLE,$20.0,VEHICLE/3FT/VEHICLE
42,P054,PARKED ON DESIGNATED VENDOR AREA,$20.0,VENDOR STAND ON
43,P055,NO PARKING ANYTIME,$30.0,NO PARKING ANYTIME
44,P056,NO PARKING 7 AM TO 6:30 PM,$30.0,NO PKING 7AM-630PM
45,P057,NO PARKING SPECIFIC HOURS,$30.0,NO PARKING SPEC HRS
46,P058,NO STANDING COMMERCIAL VEHICLE,$500.0,NO STAND COMM VEHICL
47,P059,PARK IN A FIRE LANE,$50.0,FIRE LANE OBSTRUCT
48,P063,PARK FOR PURPOSE OF VEHICLE SALE OR REPAIR,$20.0,ADVERTISING USE VEH
49,P072,FAIL TO LOCK AND REMOVE KEY FROM IGNITION WHEN PKD,$50.0,IGNITION FAIL/LOCK
50,P077,MOTOR RUNNING UNATTENDED,$50.0,MOTOR RUN UNATTENDED
51,P082,FAIL TO CHANGE ADDRESS OF VEHICLE REGISTRATION,$10.0,REG FAIL TO CHG ADDR
52,P085,DEFECTIVE SPEEDOMETER.,$25.0,SPEEDOMETER DEFECTIV
53,P086,NO SPEEDOMETER.,$25.0,SPEEDOMETER NONE
54,P087,MACHINE RESTRCTD HRS,$10.0,MACHINE RESTRCTD HRS
55,P090,IMPROPERLY DISPLAYED TAGS,$10.0,TAGS IMPROPER
56,P093,OBSTRUCTED TAGS.,$50.0,TAGS OBSTRUCTED
57,P095,DRIVE TRUCK ON RESTRICTED ROUTE,$5.0,TRUCK ROUTE VIOLATIO
58,P097,PARKING MISC,$5.0,PARKING MISC
59,P100,GLASS LEFT IN THE STREET,$25.0,GLASS LEFT IN ST
60,P101,INCORRECT BUMPER ON A VENDING VEHICLE,$25.0,BUMPER BAD/VEND VEHI
61,P104,FAIL TO DISPLAY CURRENT DC VEHICLE TAGS,$100.0,FAIL DISP 2 DC TAGS
62,P106,DEFECTIVE MUFFLER.,$15.0,MUFFLER DEFECTIVE.
63,P107,EXCESSIVE SMOKE.,$15.0,SMOKE EXCESSIVE
64,P108,LOW HORN VOLUME OR NO NOISE FROM HORN,$10.0,HORN LOW OR NONE
