"","State","Year","Tickets","Fines","Vehicles","state.name"
"1","AK","2013",417,18030,800433,"Alaska"
"2","AK","2015",299,13580,800433,"Alaska"
"3","AK","2014",376,17775,800433,"Alaska"
"4","AL","2015",2302,115335,5366844,"Alabama"
"5","AL","2014",2580,115485,5366844,"Alabama"
"6","AL","2013",2691,125975,5366844,"Alabama"
"7","AR","2013",691,33190,2778660,"Arkansas"
"8","AR","2015",732,33450,2778660,"Arkansas"
"9","AR","2014",688,33690,2778660,"Arkansas"
"10","AZ","2013",2386,111475,5588014,"Arizona"
"11","AZ","2014",2059,100770,5588014,"Arizona"
"12","AZ","2015",2132,115870,5588014,"Arizona"
"13","CA","2014",6703,326500,28686646,"California"
"14","CA","2013",6863,332235,28686646,"California"
"15","CA","2015",5499,269170,28686646,"California"
"16","CO","2015",1296,61085,4820622,"Colorado"
"17","CO","2014",1606,75490,4820622,"Colorado"
"18","CO","2013",1660,77660,4820622,"Colorado"
"19","CT","2013",5154,237540,2866460,"Connecticut"
"20","CT","2015",4591,217505,2866460,"Connecticut"
"21","CT","2014",4884,223985,2866460,"Connecticut"
"22","DC","2013",466652,23040195,334331,"District of Columbia"
"23","DC","2014",458641,23244355,334331,"District of Columbia"
"24","DC","2015",430667,22102190,334331,"District of Columbia"
"25","DE","2014",4023,183710,957669,"Delaware"
"26","DE","2013",4377,203790,957669,"Delaware"
"27","DE","2015",3846,188150,957669,"Delaware"
"28","FL","2015",16478,821140,15504814,"Florida"
"29","FL","2014",17574,852050,15504814,"Florida"
"30","FL","2013",17700,844095,15504814,"Florida"
"31","GA","2014",7781,364125,8155107,"Georgia"
"32","GA","2013",8593,406250,8155107,"Georgia"
"33","GA","2015",7654,368835,8155107,"Georgia"
"34","HI","2015",171,10145,1393259,"Hawaii"
"35","HI","2013",128,6135,1393259,"Hawaii"
"36","HI","2014",161,7220,1393259,"Hawaii"
"37","IA","2013",742,35565,3596530,"Iowa"
"38","IA","2014",674,32040,3596530,"Iowa"
"39","IA","2015",538,27595,3596530,"Iowa"
"40","ID","2015",165,7020,1762687,"Idaho"
"41","ID","2013",246,11075,1762687,"Idaho"
"42","ID","2014",187,9255,1762687,"Idaho"
"43","IL","2013",7541,375325,10393503,"Illinois"
"44","IL","2014",7124,365190,10393503,"Illinois"
"45","IL","2015",6380,341260,10393503,"Illinois"
"46","IN","2013",3605,192530,6012595,"Indiana"
"47","IN","2015",5094,297740,6012595,"Indiana"
"48","IN","2014",4886,268250,6012595,"Indiana"
"49","KS","2013",655,30155,2542678,"Kansas"
"50","KS","2015",521,25705,2542678,"Kansas"
"51","KS","2014",585,27570,2542678,"Kansas"
"52","KY","2014",1616,78975,4148721,"Kentucky"
"53","KY","2013",1731,88240,4148721,"Kentucky"
"54","KY","2015",1491,74925,4148721,"Kentucky"
"55","LA","2015",1736,88940,3886934,"Louisiana"
"56","LA","2014",1735,81070,3886934,"Louisiana"
"57","LA","2013",1851,85720,3886934,"Louisiana"
"58","MA","2015",7267,358220,4994439,"Massachusetts"
"59","MA","2013",7984,386925,4994439,"Massachusetts"
"60","MA","2014",7801,369465,4994439,"Massachusetts"
"61","MD","2013",592904,26136060,4052090,"Maryland"
"62","MD","2015",554265,25060190,4052090,"Maryland"
"63","MD","2014",570264,25416185,4052090,"Maryland"
"64","ME","2014",973,49050,1194661,"Maine"
"65","ME","2013",1087,53755,1194661,"Maine"
"66","ME","2015",912,49090,1194661,"Maine"
"67","MI","2015",4719,234925,8126337,"Michigan"
"68","MI","2013",5797,273125,8126337,"Michigan"
"69","MI","2014",5017,244355,8126337,"Michigan"
"70","MN","2014",1594,80840,5223189,"Minnesota"
"71","MN","2015",1412,68780,5223189,"Minnesota"
"72","MN","2013",1540,76705,5223189,"Minnesota"
"73","MO","2014",1802,85330,5332901,"Missouri"
"74","MO","2015",1546,77790,5332901,"Missouri"
"75","MO","2013",1901,90590,5332901,"Missouri"
"76","MS","2013",1101,53270,2067806,"Mississippi"
"77","MS","2014",956,47265,2067806,"Mississippi"
"78","MS","2015",903,46195,2067806,"Mississippi"
"79","MT","2015",234,10385,1585830,"Montana"
