"","lon","lat"
"1",-77.039450447,38.9002155965
"2",-77.052682293,38.92554355
"3",-77.0300529586,38.8920955533
"4",-76.9764110238,38.8956977742
"5",-77.0153776119,38.9751321778
"6",-77.011847766,38.9564010174
"7",-77.0517764472,38.9055572492
"8",-77.0319429901,38.9200718366
"9",-77.0239774286,38.8938843562
"10",-77.0319573845,38.9025305482
"11",-76.939207947,38.8915348117
"12",-76.9477824367,38.9022074779
"13",-77.0065968838,38.9097503856
"14",-77.0272714592,38.9016033047
"15",-76.9799738372,38.9174326145
"16",-77.0240356508,38.9563355486
"17",-77.0679026672,38.9127152205
"18",-77.0254411325,38.9547390763
"19",-77.0736210092,38.9615544957
"20",-77.0750509762,38.9640063548
"21",-77.0805524963,38.9485365778
"22",-76.9733880006,38.922722702
"23",-76.9602378306,38.9283671838
"24",-77.0240058013,38.9410171568
"25",-77.0074941815,38.9072460173
"26",-76.9927086654,38.9334504425
"27",-77.0319529738,38.9072471132
"28",-77.0253787331,38.9483038493
"29",-77.0667840792,38.9360700311
"30",-76.9894832938,38.9224964472
"31",-76.9715532151,38.9312940113
"32",-77.0466488963,38.903750132
"33",-77.0091933727,38.9073096102
"34",-77.0175702064,38.8906037891
"35",-76.9486053508,38.8954786853
"36",-77.0230971801,38.9281306921
"37",-77.0327508119,38.9302385643
"38",-77.0229647755,38.8948033174
"39",-76.9807655307,38.8875972516
"40",-77.0241987882,38.9597333415
"41",-76.983181459,38.9256974401
"42",-77.006105662,38.8300563758
"43",-76.9911134416,38.9029942481
"44",-77.0207508248,38.910234465
"45",-77.0090655419,38.9002156705
"46",-76.9585291814,38.9181712404
"47",-77.0035115331,38.8973448529
"48",-76.950420309,38.8871468365
"49",-76.9965027372,38.8468513951
"50",-77.0467420964,38.916774613
"51",-77.0296277166,38.9085827358
"52",-77.0364537509,38.934974234
"53",-77.0319573503,38.8955064277
"54",-77.0819702866,38.9425258034
"55",-77.0199142724,38.8868941417
"56",-77.0091881605,38.9079018843
"57",-76.9908453193,38.93057495
"58",-77.0331782056,38.9346252372
"59",-77.0906102866,38.9533232407
"60",-77.0121577583,38.9157332071
"61",-77.0832079028,38.9289025701
"62",-77.0229505609,38.8998216595
"63",-76.9657994999,38.8694834414
"64",-77.0432044457,38.9615077146
"65",-76.987328368,38.8321166245
"66",-76.9442949316,38.9005866146
"67",-77.0415932367,38.906467463
"68",-77.0085081892,38.8318720616
"69",-77.0121625512,38.9062764759
"70",-76.9823231532,38.9017432923
"71",-77.0466663329,38.8973612268
"72",-77.0514254582,38.901124961
"73",-77.0319578112,38.9155761346
"74",-77.0162911843,38.9750242442
"75",-77.0089099155,38.9168647773
"76",-76.9928406952,38.9211100496
"77",-77.0143960136,38.9272738657
"78",-77.0160798568,38.907698361
"79",-77.0259942063,38.9205414743
"80",-76.9187243091,38.8897607466
"81",-76.9856664598,38.9008308905
"82",-76.9744862912,38.8718046065
"83",-77.0121577583,38.9157332071
"84",-77.0091933727,38.9073096102
"85",-77.0345701743,38.9065661226
"86",-77.0240452908,38.9029362509
"87",-77.0365408176,38.9037467886
"88",-77.0616165051,38.9049942262
"89",-77.0699764277,38.9561239402
"90",-76.9696817112,38.8564095149
"91",-77.0556366105,38.9237261933
"92",-77.0013167717,38.8212916448
"93",-76.9556528717,38.8868046158
"94",-77.0488417781,38.8964576158
"95",-76.996176896,38.8846827813
"96",-76.999527189,38.9201352967
"97",-77.0071367528,38.9174742946
"98",-76.9395567813,38.8831971943
"99",-76.9256737275,38.8983556647
"100",-76.9805217254,38.8885381364
"101",-76.9790096821,38.8853534883
"102",-76.9966621864,38.8464713336
"103",-77.0265279426,38.981450982
"104",-77.0071685623,38.8989208762
"105",-77.0385111215,38.9037501646
"106",-77.0249963057,38.9028820996
"107",-77.0708823732,38.9305238148
"108",-76.9710370106,38.9349026435
"109",-76.9896032446,38.8646080397
"110",-76.9372193952,38.8900292707
"111",-76.9785688014,38.8456091981
"112",-77.0031843918,38.8944023664
"113",-77.0107151217,38.9623648065
"114",-77.0400808084,38.892107857
"115",-77.0241375085,38.9331209953
"116",-77.024850251,38.8996116461
"117",-77.0429399721,38.9047907071
"118",-77.0272864788,38.9508098827
"119",-77.0728749778,38.9701555906
"120",-77.0296215012,38.8973467323
"121",-76.9870319588,38.9016404509
"122",-76.9335333121,38.8816112376
"123",-77.024980119,38.8951779715
"124",-77.015170911,38.8948023577
"125",-76.9926385592,38.9500362324
"126",-76.9495936066,38.8940016531
"127",-76.976985013,38.8977335992
"128",-77.0365478171,38.9013520301
"129",-76.9905195186,38.8801760808
"130",-76.9739499029,38.9304246692
"131",-77.0752832959,38.9120580434
"132",-77.0365408176,38.9037467886
"133",-76.977039882,38.8705209882
"134",-77.0281397054,38.892093179
"135",-76.9491626132,38.8951408372
"136",-77.026396288,38.9441563906
"137",-76.9778802827,38.8935840676
"138",-77.0368324178,38.9352176998
"139",-77.055800344,38.9092566573
"140",-77.0399987411,38.8939658619
"141",-77.034267801,38.929821423
"142",-77.027620023,38.8943117629
"143",-76.9904938389,38.8990542135
"144",-77.036103234,38.9377009753
"145",-77.0697001667,38.9185459793
"146",-77.0078332606,38.9523819562
"147",-77.0319747408,38.8886151079
"148",-77.0021444681,38.9579766931
"149",-76.9834350843,38.8460079831
"150",-77.0100687338,38.9067468513
"151",-76.9702680099,38.8542276437
"152",-76.9479521214,38.8960666426
"153",-77.0752832959,38.9120580434
"154",-77.0326433838,38.9288144157
"155",-76.9536994146,38.8902097461
"156",-77.021197615,38.9098754023
"157",-76.9706017029,38.8521460597
"158",-76.985846161,38.9003794133
"159",-77.0199093003,38.9025283284
"160",-77.0234688135,38.9121602946
"161",-77.0272051487,38.9553473678
"162",-77.0629689768,38.9027788007
"163",-77.0384747069,38.9170111799
"164",-76.9866677313,38.9012549424
"165",-77.0417068704,38.8973618361
"166",-76.9775256701,38.8990934826
"167",-76.9335333121,38.8816112376
"168",-76.9910808021,38.933534287
"169",-77.020935988,38.9129626983
"170",-77.0211233029,38.8995507624
"171",-76.9994124481,38.9205004938
"172",-77.0388128812,38.9239505431
"173",-76.9695846953,38.8618356241
"174",-77.0434622415,38.9025318547
"175",-77.0234441903,38.9168761639
"176",-76.954636653,38.8901950698
