"Group.1","Group.2","Group.3","x"
20001,"Friday","00",1.24559313959028
20002,"Friday","00",1.11484375
20003,"Friday","00",1.07798582995951
20004,"Friday","00",1.15757575757576
20005,"Friday","00",1.31003289473684
20006,"Friday","00",1.24826388888889
20007,"Friday","00",1.09941768131286
20008,"Friday","00",1.09423323366083
20009,"Friday","00",1.23819290465632
20010,"Friday","00",1.08694581280788
20011,"Friday","00",1.03575757575758
20012,"Friday","00",1.02037533512064
20015,"Friday","00",1.03376918703809
20016,"Friday","00",1.06255474452555
20017,"Friday","00",1.06685393258427
20018,"Friday","00",1.12050619834711
20019,"Friday","00",1.02782631038027
20020,"Friday","00",1.01730663741086
20024,"Friday","00",1.07516703786192
20032,"Friday","00",1.00943555181129
20036,"Friday","00",1.2925
20037,"Friday","00",1.25825892857143
20217,"Friday","00",1.275625
20373,"Friday","00",1
20392,"Friday","00",1.01769230769231
20540,"Friday","00",1.085625
20001,"Monday","00",1.46871696299856
20002,"Monday","00",1.313844486589
20003,"Monday","00",1.24445010183299
20004,"Monday","00",1.38842975206612
20005,"Monday","00",1.47742998352554
20006,"Monday","00",1.36549295774648
20007,"Monday","00",1.35638695884554
20008,"Monday","00",1.30873287671233
20009,"Monday","00",1.42606026785714
20010,"Monday","00",1.35719008264463
20011,"Monday","00",1.21079443447038
20012,"Monday","00",1.12428571428571
20015,"Monday","00",1.20232954545455
20016,"Monday","00",1.27722263041881
20017,"Monday","00",1.21215741391427
20018,"Monday","00",1.16754658385093
20019,"Monday","00",1.13392161951726
20020,"Monday","00",1.15876145515135
20024,"Monday","00",1.20959367945824
20032,"Monday","00",1.25659974369927
20036,"Monday","00",1.3575
20037,"Monday","00",1.3910514541387
20217,"Monday","00",1.505
20373,"Monday","00",1.24488188976378
20392,"Monday","00",1.33359375
20540,"Monday","00",1.250625
20001,"Saturday","00",1.28812829104835
20002,"Saturday","00",1.14394388993796
20003,"Saturday","00",1.10665322580645
20004,"Saturday","00",1.18359375
20005,"Saturday","00",1.33829787234043
20006,"Saturday","00",1.23611111111111
20007,"Saturday","00",1.17671594508976
20008,"Saturday","00",1.14385140905209
20009,"Saturday","00",1.28457711442786
20010,"Saturday","00",1.1522671063479
20011,"Saturday","00",1.05375139977604
20012,"Saturday","00",1.07785714285714
20015,"Saturday","00",1.05738636363636
20016,"Saturday","00",1.1110101744186
20017,"Saturday","00",1.07832167832168
20018,"Saturday","00",1.09269547325103
20019,"Saturday","00",1.04626827391639
20020,"Saturday","00",1.05591870365284
20024,"Saturday","00",1.07942157953281
20032,"Saturday","00",1.06731748726655
20036,"Saturday","00",1.3
20037,"Saturday","00",1.27964601769912
20217,"Saturday","00",1.3275
20373,"Saturday","00",1.05307692307692
20392,"Saturday","00",1.13984962406015
20540,"Saturday","00",1.11
20001,"Sunday","00",1.54678362573099
20002,"Sunday","00",1.39125412541254
20003,"Sunday","00",1.34936061381074
20004,"Sunday","00",1.36050420168067
20005,"Sunday","00",1.55752508361204
20006,"Sunday","00",1.39636363636364
20007,"Sunday","00",1.41514986376022
20008,"Sunday","00",1.39900862068966
20009,"Sunday","00",1.51262080727686
20010,"Sunday","00",1.45262711864407
20011,"Sunday","00",1.25507961426329
20012,"Sunday","00",1.14526785714286
20015,"Sunday","00",1.20414772727273
20016,"Sunday","00",1.33035714285714
20017,"Sunday","00",1.2863796753705
20018,"Sunday","00",1.19324181626188
20019,"Sunday","00",1.10185332274292
20020,"Sunday","00",1.14994369369369
20024,"Sunday","00",1.24149659863946
20032,"Sunday","00",1.12051731696624
20036,"Sunday","00",1.445
20037,"Sunday","00",1.4489841986456
20217,"Sunday","00",1.59125
20373,"Sunday","00",1.05867768595041
20392,"Sunday","00",1.43220338983051
20540,"Sunday","00",1.345625
20001,"Thursday","00",1.19684456564083
20002,"Thursday","00",1.09538192164587
20003,"Thursday","00",1.11002044989775
20004,"Thursday","00",1.1516339869281
20005,"Thursday","00",1.28058124174373
20006,"Thursday","00",1.25536723163842
20007,"Thursday","00",1.0986183074266
20008,"Thursday","00",1.06800964187328
20009,"Thursday","00",1.14972801450589
20010,"Thursday","00",1.05064319566689
20011,"Thursday","00",1.0272025838866
20012,"Thursday","00",1.02114285714286
20015,"Thursday","00",1.01927272727273
20016,"Thursday","00",1.06790600832838
20017,"Thursday","00",1.04406302757456
20018,"Thursday","00",1.04130526315789
20019,"Thursday","00",1.06470588235294
20020,"Thursday","00",1.08804347826087
20024,"Thursday","00",1.09698905109489
20032,"Thursday","00",1.09420238931834
20036,"Thursday","00",1.2605
20037,"Thursday","00",1.20579710144928
20217,"Thursday","00",1.2745
20373,"Thursday","00",1.08724832214765
20392,"Thursday","00",1.06184210526316
20540,"Thursday","00",1.1405
20001,"Tuesday","00",1.2544267053701
20002,"Tuesday","00",1.11838736039226
20003,"Tuesday","00",1.07822132390096
20004,"Tuesday","00",1.22903225806452
20005,"Tuesday","00",1.3295867768595
20006,"Tuesday","00",1.31161971830986
20007,"Tuesday","00",1.13909531502423
20008,"Tuesday","00",1.08841016803102
20009,"Tuesday","00",1.21578651685393
20010,"Tuesday","00",1.07444352844188
20011,"Tuesday","00",1.04016136261766
20012,"Tuesday","00",1.03276785714286
20015,"Tuesday","00",1.03073863636364
20016,"Tuesday","00",1.07708256201407
20017,"Tuesday","00",1.0659678546471
20018,"Tuesday","00",1.06516500785752
20019,"Tuesday","00",1.11930371525071
20020,"Tuesday","00",1.10776509880323
20024,"Tuesday","00",1.07874015748032
20032,"Tuesday","00",1.10393768931199
20036,"Tuesday","00",1.290625
20037,"Tuesday","00",1.31073825503356
20217,"Tuesday","00",1.326875
20373,"Tuesday","00",1.08196721311475
20392,"Tuesday","00",1.05811965811966
20540,"Tuesday","00",1.098125
20001,"Wednesday","00",1.20337904015671
20002,"Wednesday","00",1.07267729521715
20003,"Wednesday","00",1.07160430548437
20004,"Wednesday","00",1.15086206896552
20005,"Wednesday","00",1.28511705685619
20006,"Wednesday","00",1.2339222614841
20007,"Wednesday","00",1.07191072400653
20008,"Wednesday","00",1.06887645286268
20009,"Wednesday","00",1.19932203389831
20010,"Wednesday","00",1.05704526046114
20011,"Wednesday","00",1.04325842696629
20012,"Wednesday","00",1.02877569258266
20015,"Wednesday","00",1.04829545454545
20016,"Wednesday","00",1.08533582089552
20017,"Wednesday","00",1.0470297029703
20018,"Wednesday","00",1.03203371970495
20019,"Wednesday","00",1.03575596816976
20020,"Wednesday","00",1.08558533145275
20024,"Wednesday","00",1.06050516647532
20032,"Wednesday","00",1.03962673611111
20036,"Wednesday","00",1.2375
20037,"Wednesday","00",1.23552036199095
20217,"Wednesday","00",1.245625
20373,"Wednesday","00",1.00975609756098
20392,"Wednesday","00",1.02377049180328
20540,"Wednesday","00",1.108125
20001,"Friday","01",1.20197305101059
20002,"Friday","01",1.05749730312837
20003,"Friday","01",1.01590447154472
20004,"Friday","01",1.12109375
20005,"Friday","01",1.30279605263158
20006,"Friday","01",1.20692041522491
20007,"Friday","01",1.06376195536663
20008,"Friday","01",1.08551842330763
20009,"Friday","01",1.2721632196758
20010,"Friday","01",1.07286184210526
20011,"Friday","01",1.02312345955635
20012,"Friday","01",1.01491071428571
20015,"Friday","01",1.01892045454545
