DATEMONTHINT,STATION,PERIOD,RIDERS_PER_WEEKDAY,
201009,Addison Road,AM Peak,2303.7,
201009,Addison Road,Evening,211,
201009,Addison Road,Late Night Peak,5.1,
201009,Addison Road,Midday,748,
201009,Addison Road,PM Peak,399.6,
201009,Anacostia,AM Peak,3141,
201009,Anacostia,Evening,604.2,
201009,Anacostia,Late Night Peak,20.2,
201009,Anacostia,Midday,1860.5,
201009,Anacostia,PM Peak,1664,
201009,Archives-Navy Memorial,AM Peak,366.3,
201009,Archives-Navy Memorial,Evening,1284,
201009,Archives-Navy Memorial,Late Night Peak,22.8,
201009,Archives-Navy Memorial,Midday,1599.7,
201009,Archives-Navy Memorial,PM Peak,5824.2,
201009,Arlington Cemetery,AM Peak,11,
201009,Arlington Cemetery,Evening,105.1,
201009,Arlington Cemetery,Midday,491.2,
201009,Arlington Cemetery,PM Peak,503.5,
201009,Ballston,AM Peak,4584.1,
201009,Ballston,Evening,1245.2,
201009,Ballston,Late Night Peak,42.2,
201009,Ballston,Midday,2220.5,
201009,Ballston,PM Peak,4054.4,
201009,Benning Road,AM Peak,1650.2,
201009,Benning Road,Evening,244.1,
201009,Benning Road,Late Night Peak,9.3,
201009,Benning Road,Midday,767.9,
201009,Benning Road,PM Peak,479.2,
201009,Bethesda,AM Peak,3265.1,
201009,Bethesda,Evening,1461.6,
201009,Bethesda,Late Night Peak,52.4,
201009,Bethesda,Midday,2008.6,
201009,Bethesda,PM Peak,3384.1,
201009,Braddock Road,AM Peak,2564.7,
201009,Braddock Road,Evening,269.2,
201009,Braddock Road,Late Night Peak,9,
201009,Braddock Road,Midday,727.5,
201009,Braddock Road,PM Peak,891.9,
201009,Branch Avenue,AM Peak,5025.6,
201009,Branch Avenue,Evening,249.2,
201009,Branch Avenue,Late Night Peak,4.6,
201009,Branch Avenue,Midday,896.4,
201009,Branch Avenue,PM Peak,579.9,
201009,Brookland,AM Peak,2054,
201009,Brookland,Evening,1024.5,
201009,Brookland,Late Night Peak,23,
201009,Brookland,Midday,1786.9,
201009,Brookland,PM Peak,2659.2,
201009,Capitol Heights,AM Peak,1235.7,
201009,Capitol Heights,Evening,128.1,
201009,Capitol Heights,Late Night Peak,5.8,
201009,Capitol Heights,Midday,424.5,
201009,Capitol Heights,PM Peak,264.1,
201009,Capitol South,AM Peak,907.1,
201009,Capitol South,Evening,1237,
201009,Capitol South,Late Night Peak,23,
201009,Capitol South,Midday,1852.5,
201009,Capitol South,PM Peak,4661.1,
201009,Cheverly,AM Peak,1025.8,
201009,Cheverly,Evening,71.9,
201009,Cheverly,Late Night Peak,1.5,
201009,Cheverly,Midday,260.5,
201009,Cheverly,PM Peak,173.5,
201009,Clarendon,AM Peak,1706,
201009,Clarendon,Evening,706.2,
201009,Clarendon,Late Night Peak,100.2,
201009,Clarendon,Midday,752.6,
201009,Clarendon,PM Peak,871.7,
201009,Cleveland Park,AM Peak,2229.5,
201009,Cleveland Park,Evening,492.4,
201009,Cleveland Park,Late Night Peak,17.2,
201009,Cleveland Park,Midday,954.7,
201009,Cleveland Park,PM Peak,705.5,
201009,College Park-U of MD,AM Peak,2025.1,
