DATEMONTHINT,STATION,RIDERS_PER_WEEKDAY,,
201009,Addison Road,3667.3,,
201009,Anacostia,7290,,
201009,Archives-Navy Memorial,9094.8,,
201009,Arlington Cemetery,1110.9,,
201009,Ballston,12146.5,,
201009,Benning Road,3150.8,,
201009,Bethesda,10171.8,,
201009,Braddock Road,4462.3,,
201009,Branch Avenue,6755.7,,
201009,Brookland,7547.5,,
201009,Capitol Heights,2058.2,,
201009,Capitol South,8680.8,,
201009,Cheverly,1533.2,,
201009,Clarendon,4136.8,,
201009,Cleveland Park,4399.2,,
201009,College Park-U of MD,5026.4,,
201009,Columbia Heights,11780.8,,
201009,Congress Heights,2691,,
201009,Court House,7426.6,,
201009,Crystal City,14699.4,,
201009,Deanwood,1827.1,,
201009,Dunn Loring,5271.1,,
201009,Dupont Circle,22225.2,,
201009,East Falls Church,3960.7,,
201009,Eastern Market,6049.5,,
201009,Eisenhower Avenue,2114.9,,
201009,Farragut North,23649,,
201009,Farragut West,22629.4,,
201009,Federal Center SW,5865.2,,
201009,Federal Triangle,10176.9,,
201009,Foggy Bottom,21905.9,,
201009,Forest Glen,2328.4,,
201009,Fort Totten,7215.6,,
201009,Franconia-Springfield,9236.2,,
201009,Friendship Heights,9340.3,,
201009,Gallery Place-Chinatown,25049.2,,
201009,Georgia Avenue-Petworth,5425,,
201009,Glenmont,5743.9,,
201009,Greenbelt,6994.6,,
201009,Grosvenor,5712.6,,
201009,Huntington,8768.8,,
201009,Judiciary Square,9850,,
201009,King St-Old Town,8788.4,,
201009,L'Enfant Plaza,22268,,
201009,Landover,2494.2,,
201009,Largo Town Center,5373,,
201009,McPherson Square,16507.9,,
201009,Medical Center,5590.6,,
201009,Metro Center,28476.8,,
201009,Minnesota Avenue,3156.7,,
201009,Morgan Blvd.,1654.4,,
201009,Mt. Vernon Square-UDC,3802.5,,
201009,Navy Yard-Ballpark,8916.4,,
201009,Naylor Road,3101.9,,
201009,New Carrollton,10196.9,,
201009,NoMa-Gallaudet U,6349,,
201009,Pentagon,16689.1,,
201009,Pentagon City,16079.9,,
201009,Potomac Avenue,3978.4,,
201009,Prince George's Plaza,5316.1,,
201009,Reagan Washington National Airport,5888.6,,
201009,Rhode Island Avenue,5232.4,,
201009,Rockville,4927,,
201009,Rosslyn,17351.2,,
201009,Shady Grove,13616.9,,
201009,Shaw-Howard University,5006.8,,
201009,Silver Spring,13076.4,,
201009,Smithsonian,10769,,
201009,Southern Avenue,5773.1,,
201009,Stadium-Armory,2992.3,,
201009,Suitland,6654.5,,
201009,Takoma,6422,,
201009,Tenleytown-AU,7461.1,,
201009,Twinbrook,4673.8,,
201009,U Street-Cardozo,6712.6,,
201009,Union Station,31862.8,,
201009,Van Dorn Street,3716.6,,
201009,Van Ness-UDC,8295.1,,
201009,Vienna,13763.6,,
201009,Virginia Square-GMU,4206.3,,
201009,Waterfront,3927.7,,
201009,West Falls Church,10565.4,,
201009,West Hyattsville,3759.2,,
201009,Wheaton,4234.5,,
201009,White Flint,4213.6,,
201009,Woodley Park-Zoo,7213.6,,
201010,Addison Road,3664.9,,
201010,Anacostia,7305.8,,
201010,Archives-Navy Memorial,9245.2,,
201010,Arlington Cemetery,1246.9,,
201010,Ballston,12476.2,,
201010,Benning Road,3199.3,,
201010,Bethesda,10515.3,,
201010,Braddock Road,4576.1,,
201010,Branch Avenue,6811.8,,
201010,Brookland,7645.8,,
201010,Capitol Heights,2085.7,,
201010,Capitol South,8291.2,,
201010,Cheverly,1567.6,,
201010,Clarendon,4232.8,,
201010,Cleveland Park,4518.8,,
201010,College Park-U of MD,5200.6,,
201010,Columbia Heights,11981,,
201010,Congress Heights,2735.4,,
201010,Court House,7642.6,,
201010,Crystal City,15458,,
201010,Deanwood,1810.1,,
201010,Dunn Loring,5301.7,,
201010,Dupont Circle,22818.7,,
201010,East Falls Church,4004.1,,
201010,Eastern Market,6234.9,,
201010,Eisenhower Avenue,2156.1,,
201010,Farragut North,24227.2,,
201010,Farragut West,22873.2,,
201010,Federal Center SW,5782.3,,
201010,Federal Triangle,8166.7,,
201010,Foggy Bottom,22657.4,,
201010,Forest Glen,2360.1,,
201010,Fort Totten,7161.9,,
201010,Franconia-Springfield,9594.1,,
201010,Friendship Heights,9684.5,,
201010,Gallery Place-Chinatown,27309.2,,
201010,Georgia Avenue-Petworth,5523.1,,
201010,Glenmont,5825.7,,
201010,Greenbelt,7114.9,,
201010,Grosvenor,5777.3,,
201010,Huntington,9016.8,,
201010,Judiciary Square,9967,,
201010,King St-Old Town,9098.4,,
201010,L'Enfant Plaza,22316.2,,
201010,Landover,2456.2,,
201010,Largo Town Center,5255.3,,
201010,McPherson Square,16585.2,,
201010,Medical Center,5711.6,,
201010,Metro Center,29757.6,,
201010,Minnesota Avenue,3131.5,,
201010,Morgan Blvd.,1718,,
201010,Mt. Vernon Square-UDC,5159.5,,
201010,Navy Yard-Ballpark,6138.8,,
201010,Naylor Road,3095.8,,
201010,New Carrollton,10245,,
201010,NoMa-Gallaudet U,6548.5,,
201010,Pentagon,17073.2,,
201010,Pentagon City,16883.2,,
201010,Potomac Avenue,4025.1,,
201010,Prince George's Plaza,5333,,
201010,Reagan Washington National Airport,6649.7,,
201010,Rhode Island Avenue,5137.2,,
201010,Rockville,4972.3,,
201010,Rosslyn,18114,,
201010,Shady Grove,13994.3,,
201010,Shaw-Howard University,5087.6,,
201010,Silver Spring,13394.6,,
201010,Smithsonian,11385.9,,
201010,Southern Avenue,5779.9,,
201010,Stadium-Armory,3088.7,,
201010,Suitland,6617.3,,
201010,Takoma,6370.6,,
201010,Tenleytown-AU,7805,,
201010,Twinbrook,4834.8,,
201010,U Street-Cardozo,6924.8,,
201010,Union Station,32721.8,,
201010,Van Dorn Street,3741.5,,
201010,Van Ness-UDC,6322.7,,
201010,Vienna,13936.9,,
201010,Virginia Square-GMU,4224.4,,
201010,Waterfront,3934.1,,
201010,West Falls Church,10917.7,,
201010,West Hyattsville,3692.4,,
201010,Wheaton,4414.6,,
201010,White Flint,4364.6,,
201010,Woodley Park-Zoo,7537.9,,
201011,Addison Road,3509.5,,
201011,Anacostia,7101.8,,
201011,Archives-Navy Memorial,8625.4,,
201011,Arlington Cemetery,816.8,,
201011,Ballston,11705.9,,
201011,Benning Road,3120.6,,
201011,Bethesda,9969,,
201011,Braddock Road,4303.6,,
201011,Branch Avenue,6315.9,,
201011,Brookland,7036.3,,
201011,Capitol Heights,2070.6,,
201011,Capitol South,7633.4,,
201011,Cheverly,1482.2,,
201011,Clarendon,3939.4,,
201011,Cleveland Park,4331.3,,
201011,College Park-U of MD,4822.1,,
201011,Columbia Heights,11620.3,,
201011,Congress Heights,2698.6,,
201011,Court House,7091.2,,
201011,Crystal City,14116.5,,
201011,Deanwood,1721.8,,
201011,Dunn Loring,4920.9,,
201011,Dupont Circle,21169.3,,
201011,East Falls Church,3514.7,,
201011,Eastern Market,5819.3,,
201011,Eisenhower Avenue,1943.9,,
201011,Farragut North,22736.9,,
201011,Farragut West,21464.2,,
201011,Federal Center SW,5576.9,,
201011,Federal Triangle,9688.3,,
201011,Foggy Bottom,20725,,
201011,Forest Glen,2269.9,,
201011,Fort Totten,6857.4,,
201011,Franconia-Springfield,9119.4,,
201011,Friendship Heights,9274.1,,
201011,Gallery Place-Chinatown,25093.1,,
201011,Georgia Avenue-Petworth,5445.8,,
201011,Glenmont,5659.2,,
201011,Greenbelt,6722.1,,
201011,Grosvenor,5544.6,,
201011,Huntington,8495.1,,
201011,Judiciary Square,9454.6,,
201011,King St-Old Town,8302.3,,
201011,L'Enfant Plaza,20933.6,,
201011,Landover,2361.5,,
201011,Largo Town Center,5027.6,,
201011,McPherson Square,15558,,
201011,Medical Center,5442.9,,
201011,Metro Center,27721,,
201011,Minnesota Avenue,3044.8,,
201011,Morgan Blvd.,2023,,
201011,Mt. Vernon Square-UDC,3511,,
201011,Navy Yard-Ballpark,5720.4,,
201011,Naylor Road,2966.5,,
201011,New Carrollton,9713.9,,
201011,NoMa-Gallaudet U,6496.9,,
201011,Pentagon,16006.7,,
201011,Pentagon City,15856.9,,
201011,Potomac Avenue,3944.2,,
201011,Prince George's Plaza,5099.6,,
201011,Reagan Washington National Airport,6250.4,,
201011,Rhode Island Avenue,4958.6,,
201011,Rockville,4698.7,,
201011,Rosslyn,13628.3,,
201011,Shady Grove,13326.4,,
201011,Shaw-Howard University,4739.8,,
201011,Silver Spring,12601.1,,
201011,Smithsonian,10405.7,,
